fuel_type,cost,emissions,conversion
Natural Gas,1.1,117.0,0.1
Propane,1.09,139.05,0.0916
Butane,1.22,143.2,3.2
Heating Oil,3,161.3,0.114
Kerosene,3,159.4,0.134
Coal,120,210.2,28
